area_type,availability,address,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,"Chandapura,Bangalore",1 BHK,,620,1,1,27
Built-up  Area,Ready To Move,"Chandapura,Bangalore",4 Bedroom,MRowsea,1891,,,66.17
Built-up  Area,Ready To Move,"Chandapura,Bangalore",4 Bedroom,,4800,4,3,250
Built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Vailsaf,1209,3,2,42
Plot  Area,Ready To Move,"Chandapura,Bangalore",6 Bedroom,,1533,5,3,85
Plot  Area,Ready To Move,"Chandapura,Bangalore",2 Bedroom,,1400,2,0,60
Plot  Area,Ready To Move,"Chandapura,Bangalore",2 Bedroom,,1500,2,1,60
Plot  Area,Ready To Move,"Chandapura,Bangalore",2 Bedroom,,1200,2,1,60
Plot  Area,Ready To Move,"Chandapura,Bangalore",4 Bedroom,Cangse ,1200,5,2,92
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,KHityry,800,1,1,20
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Vailsaf,1208,3,1,45
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,,1200,2,2,32
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Halms S,1065,2,1,33
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,,1201,2,2,27
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,,877,2,3,42
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,,1107,2,1,43
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,KHityry,700,1,1,19
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Arhid O,1095,2,2,32
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,PavesGr,876,2,2,29.5
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Riiew L,1505,2,2,42
Super built-up  Area,18-12-2023,"Chandapura,Bangalore",2 BHK,AMAKS O,937,2,1,30
Super built-up  Area,19-12-2023,"Chandapura,Bangalore",2 BHK,SuVue S,1025,2,2,27.68
Super built-up  Area,18-05-2023,"Chandapura,Bangalore",2 BHK,SunceEs,975,2,1,24.86
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,Arhid O,800,2,1,25
Plot  Area,Ready To Move,"Chandapura,Bangalore",2 Bedroom,,1200,2,1,65
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",1 BHK,SunceEs,645,1,1,16.45
Super built-up  Area,19-02-2023,"Chandapura,Bangalore",2 BHK,PavesGr,778,2,0,25.29
Built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,,715,2,0,32
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",3 BHK,SunceEs,1230,2,2,31.37
Super built-up  Area,18-08-2023,"Chandapura,Bangalore",2 BHK,SuVue S,950,2,1,25.65
Plot  Area,18-11-2023,"Chandapura,Bangalore",2 Bedroom,,1200,2,1,36
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",1 BHK,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,Siissi ,922,2,1,36
Super built-up  Area,19-12-2023,"Chandapura,Bangalore",3 BHK,SuVue S,1110,2,2,29.97
Super built-up  Area,18-12-2023,"Chandapura,Bangalore",2 BHK,,674,1,1,19.9
Super built-up  Area,19-01-2023,"Chandapura,Bangalore",3 BHK,SuVue S,1225,3,1,33.08
Built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,GCbowai,1080,2,3,45
Super built-up  Area,18-07-2023,"Chandapura,Bangalore",3 BHK,SunceEs,1305,3,1,33.28
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",3 BHK,SunceEs,1230,2,2,31.37
Built-up  Area,Ready To Move,"Chandapura,Bangalore",1 BHK,,450,1,1,9
Super built-up  Area,19-01-2023,"Chandapura,Bangalore",3 BHK,SuVue S,1110,2,2,29.97
Plot  Area,Ready To Move,"Chandapura,Bangalore",5 Bedroom,Arncyd ,1200,3,1,79
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",2 BHK,SunceEs,985,2,1,25.12
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,KHityry,750,1,1,18.5
Super built-up  Area,18-08-2023,"Chandapura,Bangalore",2 BHK,SuVue S,1025,2,2,27.68
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",3 BHK,SunceEs,1190,2,2,30.35
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",2 BHK,SunceEs,1015,2,2,25.88
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Riiew L,1345,2,2,39.5
Super built-up  Area,19-11-2023,"Chandapura,Bangalore",3 BHK,,1033,2,2,30.47
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,,971,2,2,38
Super built-up  Area,18-12-2023,"Chandapura,Bangalore",2 BHK,SunceEs,1015,2,2,25.88
Built-up  Area,Ready To Move,"Chandapura,Bangalore",4 Bedroom,,3300,4,2,135
Built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,,800,1,2,30
Super built-up  Area,18-07-2023,"Chandapura,Bangalore",3 BHK,SunceEs,1185,2,2,30.22
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,,900,2,3,35
Super built-up  Area,18-08-2023,"Chandapura,Bangalore",2 BHK,SunceEs,975,2,1,24.86
Plot  Area,18-11-2023,"Chandapura,Bangalore",3 Bedroom,,1200,2,1,52
Super built-up  Area,19-09-2023,"Chandapura,Bangalore",1 BHK,SuVue S,520,1,1,14.04
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",3 BHK,SunceEs,1230,2,2,31.37
Super built-up  Area,18-09-2023,"Chandapura,Bangalore",3 BHK,SunceEs,1305,3,1,33.28
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Siissi ,1323,2,1,42
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",1 BHK,,410,1,1,10
Super built-up  Area,18-08-2023,"Chandapura,Bangalore",2 BHK,SunceEs,985,2,1,25.12
Super built-up  Area,18-08-2023,"Chandapura,Bangalore",1 BHK,SunceEs,645,1,1,16.45
Super built-up  Area,18-07-2023,"Chandapura,Bangalore",1 BHK,SunceEs,645,1,1,16.45
Plot  Area,18-11-2023,"Chandapura,Bangalore",2 Bedroom,,1200,2,1,36
Built-up  Area,Ready To Move,"Chandapura,Bangalore",2 BHK,KHityry,740,1,1,22
Super built-up  Area,20-12-2023,"Chandapura,Bangalore",2 BHK,PavesGr,876,2,2,28.47
Plot  Area,Ready To Move,"Chandapura,Bangalore",3 Bedroom,Upldsin,1200,3,2,65
Super built-up  Area,Ready To Move,"Chandapura,Bangalore",3 BHK,Arhid O,1095,2,2,28
Super built-up  Area,18-08-2023,"Chandapura,Bangalore",1 BHK,SuVue S,520,1,1,14.04
Super built-up  Area,19-01-2023,"Chandra Layout,Bangalore",3 BHK,TiaksAa,1260,2,2,85.05
Built-up  Area,Ready To Move,"Chandra Layout,Bangalore",1 BHK,,890,1,1,75
Plot  Area,Ready To Move,"Chandra Layout,Bangalore",7 Bedroom,,780,7,3,150
Plot  Area,Ready To Move,"Chandra Layout,Bangalore",4 Bedroom,,600,2,1,85
Plot  Area,Ready To Move,"Chandra Layout,Bangalore",2 Bedroom,,815,3,2,160
Plot  Area,Ready To Move,"Chandra Layout,Bangalore",3 Bedroom,,700,3,2,195
Super built-up  Area,Ready To Move,"Chandra Layout,Bangalore",3 BHK,,1600,3,2,130
Super built-up  Area,19-01-2023,"Chandra Layout,Bangalore",3 BHK,TiaksAa,1260,2,2,85.05
Plot  Area,Ready To Move,"Chandra Layout,Bangalore",3 Bedroom,,1200,2,0,190
Super built-up  Area,17-07-2023,"Channasandra,Bangalore",2 BHK,Unm 2El,1065,2,1,40.47
Super built-up  Area,17-11-2023,"Channasandra,Bangalore",2 BHK,Unm 2El,1009,2,1,38.34
Plot  Area,18-06-2023,"Channasandra,Bangalore",3 Bedroom,,1200,3,1,67.77
Super built-up  Area,18-08-2023,"Channasandra,Bangalore",2 BHK,,1050,2,2,41
Plot  Area,18-12-2023,"Channasandra,Bangalore",2 Bedroom,,3040,2,1,48
Built-up  Area,Ready To Move,"Channasandra,Bangalore",3 BHK,Pritehi,1340,2,2,48.33
Built-up  Area,Ready To Move,"Channasandra,Bangalore",6 Bedroom,,4200,6,0,180
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1065,2,1,35
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",3 BHK,Pritehi,1470,2,1,90
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1115,2,1,33.45
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1030,2,1,34.5
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,,1115,2,1,40
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1104,2,1,35.5
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,,1160,2,1,55
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",3 BHK,Unm 2El,1310,2,2,45
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,,1070,2,1,38
Plot  Area,Ready To Move,"Channasandra,Bangalore",4 Bedroom,,1800,4,1,300
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1050,2,1,35
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1093,2,1,34
Built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,,808,2,1,40
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,,1010,2,1,36
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1123,2,1,36
Super built-up  Area,18-04-2023,"Channasandra,Bangalore",2 BHK,Evanaan,1000,2,2,35
Plot  Area,18-08-2023,"Channasandra,Bangalore",4 Bedroom,,1500,4,1,89.45
Super built-up  Area,18-08-2023,"Channasandra,Bangalore",3 BHK,,1330,2,2,51.83
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1093,2,1,37
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1115,2,1,35.8
Plot  Area,Ready To Move,"Channasandra,Bangalore",7 Bedroom,,4278,7,1,299
Plot  Area,18-07-2023,"Channasandra,Bangalore",3 Bedroom,,1500,3,1,61.95
Built-up  Area,Ready To Move,"Channasandra,Bangalore",3 BHK,,1800,3,2,60
Super built-up  Area,18-12-2023,"Channasandra,Bangalore",2 BHK,MVisear,830,2,1,36.28
Plot  Area,18-11-2023,"Channasandra,Bangalore",3 Bedroom,,1200,3,1,67.77
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",3 BHK,,1195,2,1,56
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,,1175,2,2,38
Plot  Area,18-04-2023,"Channasandra,Bangalore",2 Bedroom,,1200,2,1,46.13
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1065,2,1,36
Super built-up  Area,18-12-2023,"Channasandra,Bangalore",2 BHK,MVisear,1050,2,1,44.41
Super built-up  Area,Ready To Move,"Channasandra,Bangalore",2 BHK,Unm 2El,1010,2,1,32
Super built-up  Area,Ready To Move,"Channasandra Layout,Bangalore",2 BHK,,1210,2,2,40
Super built-up  Area,Ready To Move,"Channasandra Layout,Bangalore",3 BHK,Aconyit,1535,3,1,55
Super built-up  Area,Ready To Move,"Channasandra Layout,Bangalore",3 BHK,Aconyit,1265,2,1,82
Super built-up  Area,Ready To Move,"Channasandra Layout,Bangalore",2 BHK,Aconyit,1115,2,1,50
Built-up  Area,Ready To Move,"Channasandra Layout,Bangalore",5 Bedroom,,3100,6,1,165
Super built-up  Area,Ready To Move,"Channasandra Layout,Bangalore",3 BHK,,2400,2,3,50
Super built-up  Area,Ready To Move,"Channasandra Layout,Bangalore",3 BHK,Aconyit,1563,2,2,52
Plot  Area,Ready To Move,"Chelekare,Bangalore",1 Bedroom,,600,1,1,60
Plot  Area,Ready To Move,"Chelekare,Bangalore",8 Bedroom,,600,6,2,60
Super built-up  Area,Ready To Move,"Chelekare,Bangalore",2 BHK,Goezell,1180,2,2,40
Super built-up  Area,Ready To Move,"Chelekare,Bangalore",6 BHK,,2400,6,,98
Super built-up  Area,Ready To Move,"Chelekare,Bangalore",2 BHK,,1250,2,1,62.4
Built-up  Area,Ready To Move,"Chelekare,Bangalore",2 BHK,BhisePa,1000,2,1,45
Super built-up  Area,18-05-2023,"Chellikere,Bangalore",2 BHK,,1088,2,2,46
Super built-up  Area,18-10-2023,"Chennammana Kere,Bangalore",2 BHK,,1115,2,2,56.87
Super built-up  Area,18-10-2023,"Chennammana Kere,Bangalore",3 BHK,,1465,2,3,74.72
Super built-up  Area,18-10-2023,"Chennammana Kere,Bangalore",2 BHK,,1100,2,2,56.1
Super built-up  Area,18-10-2023,"Chennammana Kere,Bangalore",2 BHK,,1145,2,2,58.4
Super built-up  Area,Ready To Move,"Chennammana Kere,Bangalore",4 BHK,,1800,4,1,145
Super built-up  Area,18-12-2023,"Chennammana Kere,Bangalore",2 BHK,,1095,2,2,55.85
Super built-up  Area,18-10-2023,"Chennammana Kere,Bangalore",2 BHK,,1035,2,2,52.79
Super built-up  Area,18-10-2023,"Chennammana Kere,Bangalore",3 BHK,,1480,3,1,75.48
Super built-up  Area,18-10-2023,"Chennammana Kere,Bangalore",3 BHK,,1705,2,1,86.96
Super built-up  Area,Ready To Move,"Chennammanakere Achukattu,Bangalore",2 BHK,,1260,2,1,75
Super built-up  Area,18-10-2023,"Chennammanakere Achukattu,Bangalore",2 BHK,,1020,2,2,52
Built-up  Area,Ready To Move,"Chennappa Layout,Bangalore",3 BHK,Mawerer,1280,2,1,48
Built-up  Area,Ready To Move,"Chennappa Layout,Bangalore",2 BHK,Mawerer,1080,2,2,44.8
Built-up  Area,Ready To Move,"Chennappa Layout,Bangalore",2 BHK,Mawerer,1050,2,2,45
Built-up  Area,Ready To Move,"Chennappa Layout,Bangalore",2 BHK,VaireSo,1220,2,2,52
Super built-up  Area,Ready To Move,"Chikbasavanapura,Bangalore",2 BHK,SatonLi,1220,2,2,60
Super built-up  Area,Ready To Move,"Chikka Banaswadi,Bangalore",2 BHK,,1093,2,2,65
Built-up  Area,Ready To Move,"Chikka Banaswadi,Bangalore",2 BHK,SuntsAp,1250,2,3,75
Super built-up  Area,Ready To Move,"Chikka Banaswadi,Bangalore",3 BHK,MSadeed,1555,3,3,73
Plot  Area,Ready To Move,"Chikka Gowdanapalya.,Bangalore",6 Bedroom,,850,6,2,78
Plot  Area,18-05-2023,"Chikka Tirupathi,Bangalore",3 Bedroom,Theanmp,3297,3,1,135
Plot  Area,18-12-2023,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,3500,5,3,150
Built-up  Area,Ready To Move,"Chikka Tirupathi,Bangalore",5 Bedroom,Theanmp,3356,5,2,105
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,2600,5,3,120
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,2325,4,1,120
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",3 Bedroom,FiriaVi,1808,4,2,80.27
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",3 Bedroom,,1616,3,0,95
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,3056,5,,100
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",3 Bedroom,,2646,3,,99
Plot  Area,16-12-2023,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,4500,5,3,150
Built-up  Area,Ready To Move,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,2704,5,0,105
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",3 Bedroom,,1555,3,1,100
Plot  Area,18-03-2023,"Chikka Tirupathi,Bangalore",3 Bedroom,Theanmp,2325,3,,95
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,2325,4,1,120
Built-up  Area,Ready To Move,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,3250,4,2,136
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",3 Bedroom,Theanmp,2153,4,3,120
Plot  Area,Ready To Move,"Chikka Tirupathi,Bangalore",4 Bedroom,Theanmp,2665,5,3,125
Plot  Area,Ready To Move,"Chikkaballapur,Bangalore",3 Bedroom,,1500,3,3,100
Built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",2 BHK,,950,2,1,40
Plot  Area,Ready To Move,"Chikkabanavar,Bangalore",1 Bedroom,,1200,1,0,20
Plot  Area,Ready To Move,"Chikkabanavar,Bangalore",3 Bedroom,,1600,2,0,80
Plot  Area,Ready To Move,"Chikkabanavar,Bangalore",5 Bedroom,,1200,4,1,70
Super built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",2 BHK,Javasya,600,1,2,25
Built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",4 Bedroom,,2460,7,2,80
Built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",4 Bedroom,,1500,4,1,105
Plot  Area,Ready To Move,"Chikkabanavar,Bangalore",4 Bedroom,,1200,4,2,130
Built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",5 Bedroom,,2400,4,0,97
Built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",5 Bedroom,,2000,4,0,65
Super built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",2 BHK,,1067,2,1,38
Super built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",3 BHK,,1320,2,2,46
Built-up  Area,Ready To Move,"Chikkabanavar,Bangalore",8 Bedroom,,4000,7,0,110
Plot  Area,Ready To Move,"Chikkabettahalli,Bangalore",5 Bedroom,,1100,4,3,150
Built-up  Area,Ready To Move,"Chikkabidarakallu,Bangalore",4 Bedroom,Gontyol,3309,4,3,325
Carpet  Area,Ready To Move,"Chikkadunnasandra,Bangalore",2 BHK,,975,2,2,50
Super built-up  Area,Ready To Move,"Chikkadunnasandra,Bangalore",3 BHK,Krz 2 Q,1398,3,0,51
Super built-up  Area,Ready To Move,"Chikkadunnasandra,Bangalore",3 BHK,Kr 10Ca,1397,2,,52
Super built-up  Area,18-02-2023,"Chikkadunnasandra,Bangalore",2 BHK,SoasaSa,1138,2,1,32
Super built-up  Area,Ready To Move,"Chikkadunnasandra,Bangalore",2 BHK,Kr 10Ca,1200,2,2,45
Plot  Area,Ready To Move,"Chikkagubbi,Bangalore",4 Bedroom,LGrldti,4382,4,3,400
Built-up  Area,Ready To Move,"Chikkajala,Bangalore",1 BHK,,850,1,0,50
Super built-up  Area,Ready To Move,"Chikkakannalli,Bangalore",3 BHK,,1402,2,2,85
Super built-up  Area,Ready To Move,"Chikkakannalli,Bangalore",3 BHK,,1495,3,2,90
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1100,2,2,50
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,Siourpl,1375,2,1,50
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 Bedroom,,1800,1,1,128
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,KsonsCa,1070,2,2,50
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,V2avei ,1428,2,1,80
Carpet  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,875,2,3,52.8
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1290,2,2,56.12
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1208,2,1,49
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1230,2,2,48
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1070,2,1,42.8
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1310,2,1,52.4
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1270,2,3,55.25
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,SLarei ,1365,2,2,49
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1075,2,1,46.76
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1230,2,2,53.51
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1290,2,2,56.12
Super built-up  Area,17-04-2023,"Chikkalasandra,Bangalore",2 BHK,,1070,2,1,45.48
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1100,2,2,50
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1390,2,3,60.47
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1265,2,2,53.12
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,SurtsCo,1224,2,2,45
Plot  Area,Ready To Move,"Chikkalasandra,Bangalore",5 Bedroom,,1500,5,3,265
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1090,2,1,47.42
Super built-up  Area,18-05-2023,"Chikkalasandra,Bangalore",3 BHK,,1355,3,2,54.2
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1350,2,2,54.2
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,,1325,2,1,59
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",2 BHK,V2avei ,1290,2,2,72
Super built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,,1275,2,2,55.46
Plot  Area,Ready To Move,"Chikkalasandra,Bangalore",5 Bedroom,,1000,4,2,300
Built-up  Area,Ready To Move,"Chikkalasandra,Bangalore",3 BHK,Siourpl,1425,1,0,54
Built-up  Area,Ready To Move,"Chikkanahalli,Bangalore",2 BHK,,1052,2,2,52
Built-up  Area,Ready To Move,"Chikkasandra,Bangalore",2 BHK,,1070,2,2,42
Plot  Area,Ready To Move,"Chikkasandra,Bangalore",9 Bedroom,,1200,9,3,120
Plot  Area,Ready To Move,"Chikkasandra,Bangalore",2 Bedroom,,600,1,1,52
Plot  Area,Ready To Move,"Chikkasandra,Bangalore",4 Bedroom,,1200,4,2,180
Built-up  Area,Ready To Move,"Chikkathoguru,Bangalore",2 BHK,Srvasi ,1113,2,2,46
Super built-up  Area,Ready To Move,"Chikkathoguru,Bangalore",1 BHK,,1500,1,1,19.5
Built-up  Area,Ready To Move,"Chikkathoguru,Bangalore",2 BHK,Srvasi ,1045,2,2,42
Plot  Area,Ready To Move,"Chikkathoguru,Bangalore",3 Bedroom,,675,3,2,75
Plot  Area,Ready To Move,"CHIKKATIRUPATHI,Bangalore",3 Bedroom,,1500,3,2,100
Super built-up  Area,Ready To Move,"Chikku Lakshmaiah Layout,Bangalore",3 BHK,Prlis A,2300,3,2,280
Super built-up  Area,Ready To Move,"Chikku Lakshmaiah Layout,Bangalore",3 BHK,Prlis A,2292,2,1,285
Super built-up  Area,18-08-2023,"Chinnapanahalli,Bangalore",2 BHK,,1225,2,2,48
Built-up  Area,Ready To Move,"Chinnapanahalli,Bangalore",2 BHK,Mae 2ow,1020,2,2,40
Super built-up  Area,Ready To Move,"Chinnapanahalli,Bangalore",2 BHK,,1010,2,2,55
Super built-up  Area,Ready To Move,"Chinnapanahalli,Bangalore",2 BHK,,980,2,1,41
Built-up  Area,Ready To Move,"Chokkahalli,Bangalore",3 Bedroom,,2000,3,1,90
Plot  Area,Ready To Move,"Chokkanahalli,Bangalore",1 Bedroom,,1200,1,1,28
Super built-up  Area,Ready To Move,"Chokkanahalli,Bangalore",2 BHK,GrhtiSr,1267,2,0,69
Built-up  Area,Ready To Move,"Chokkasandra,Bangalore",2 BHK,Siise R,850,2,1,33
Built-up  Area,Ready To Move,"Cholanayakanahalli,Bangalore",3 BHK,Viony H,2511,3,3,205
Built-up  Area,Ready To Move,"Cholanayakanahalli,Bangalore",2 Bedroom,,580,2,0,95
Plot  Area,Ready To Move,"Cholanayakanahalli,Bangalore",5 Bedroom,,3000,6,3,1000
Plot  Area,Ready To Move,"Cholanayakanahalli,Bangalore",1 Bedroom,,750,2,0,50
Super built-up  Area,Ready To Move,"Cholanayakanahalli,Bangalore",3 BHK,ShourSp,1370,2,2,75
Super built-up  Area,Ready To Move,"Cholanayakanahalli,Bangalore",4 BHK,,2000,4,1,135
Plot  Area,Ready To Move,"Cholanayakanahalli,Bangalore",2 Bedroom,,1300,2,2,95
Super built-up  Area,17-07-2023,"Choodasandra,Bangalore",3 BHK,Sainei ,1530,3,2,77
Plot  Area,18-03-2023,"Choodasandra,Bangalore",3 Bedroom,,900,4,3,155
Super built-up  Area,18-05-2023,"Choodasandra,Bangalore",2 BHK,Emhtsl ,1197,2,1,63
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRhtiru,1115,2,2,50
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRlpank,1300,2,3,57
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,GRhtiru,1220,3,2,56
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,GRhtiru,1220,3,2,56
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,GRlpank,1465,3,3,75
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRhtiru,1115,2,1,50
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRlpank,1215,2,2,59
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,Aharlve,1254,2,1,65
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,,1580,3,3,105
Built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 Bedroom,LGlarAs,3204,4,3,395
Plot  Area,Ready To Move,"Choodasandra,Bangalore",4 Bedroom,LGlarAs,3200,4,2,375
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,Maidsr ,725,2,2,36
Built-up  Area,18-04-2023,"Choodasandra,Bangalore",4 Bedroom,LGifeew,2429,3,1,210
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,GRhtiru,1220,3,2,56
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,Maidsr ,1075,2,2,45
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRlpank,1180,2,1,71.22
Built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRlpank,1140,2,2,62
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,GRhtiru,1220,3,1,56
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,MJiyayl,1560,3,2,78
Built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,Maidsr ,1065,2,1,46
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRhtiru,1115,2,2,50
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",3 BHK,GRhtiru,1220,3,2,56
Super built-up  Area,Ready To Move,"Choodasandra,Bangalore",2 BHK,GRhtiru,1115,2,1,50
Built-up  Area,Ready To Move,"Chowdeshwari Layout,Bangalore",3 BHK,Keharya,1250,2,1,80
Super built-up  Area,18-04-2023,"Chuchangatta Colony,Bangalore",3 BHK,,1250,3,2,44
Super built-up  Area,18-05-2023,"Church Street,Bangalore",4 BHK,,11000,4,1,1600
